TITLE	N-GQD_BC
DATA TYPE	INFRARED SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/11/25
TIME	19:08:09
SPECTROMETER/DATA SYSTEM	
LOCALE	3082
RESOLUTION	
DELTAX	0,964233
XUNITS	1/CM
YUNITS	TRANSMITTANCE
FIRSTX	  399,1927
LASTX	 4000,6047
NPOINTS	    3736
FIRSTY	    87,00690
MAXY	   100,03275
MINY	    78,27451
XYDATA
1071,2634	80,348
1072,2277	80,5785
1073,1919	80,7952
1074,1561	81,0042
1075,1204	81,214
1076,0846	81,4336
1077,0488	81,6714
1078,0131	81,9329
1078,9773	82,219
1079,9415	82,5257
1080,9058	82,8449
1081,8700	83,168
1082,8342	83,4877
1083,7985	83,8
1084,7627	84,1037
1085,7269	84,3997
1086,6912	84,6897
1087,6554	84,9757
1088,6196	85,2598
1089,5839	85,5443
1090,5481	85,8306
1091,5123	86,12
1092,4766	86,4137
1093,4408	86,7139
1094,4050	87,0222
1095,3693	87,3374
1096,3335	87,6527
1097,2977	87,955
1098,2620	88,2296
1099,2262	88,4675
1100,1904	88,6719
1101,1547	88,8588
1102,1189	89,0501
1103,0831	89,2629
1104,0474	89,501
1105,0116	89,7534
1105,9758	90,0014
1106,9401	90,2284
1107,9043	90,4263
1108,8685	90,5965
1109,8328	90,7448
1110,7970	90,8751
1111,7612	90,9872
1112,7255	91,0779
1113,6897	91,1452
1114,6539	91,1914
1115,6182	91,2224
1116,5824	91,2454
1117,5466	91,2656
1118,5109	91,2841
1119,4751	91,2994
1120,4393	91,309
1121,4036	91,3117
1122,3678	91,3078
1123,3320	91,2989
1124,2963	91,2863
1125,2605	91,2711
1126,2247	91,2544
1127,1890	91,2385
1128,1532	91,2273
1129,1174	91,2263
1130,0817	91,2415
1131,0459	91,2792
1132,0101	91,3443
1132,9744	91,4395
1133,9386	91,5641
1134,9028	91,7136
1135,8671	91,881
1136,8313	92,0594
1137,7955	92,245
1138,7598	92,4371
1139,7240	92,6365
1140,6882	92,8424
1141,6525	93,051
1142,6167	93,2571
1143,5809	93,4577
1144,5452	93,6533
1145,5094	93,8466
1146,4736	94,0378
1147,4379	94,2216
1148,4021	94,3886
1149,3663	94,5299
1150,3306	94,6425
1151,2948	94,7309
1152,2590	94,8029
1153,2233	94,8643
1154,1875	94,9151
1155,1517	94,9517
1156,1160	94,9719
1157,0802	94,9791
1158,0444	94,9828
1159,0087	94,9944
1159,9729	95,0217
1160,9371	95,0655
1161,9014	95,1202
1162,8656	95,1778
1163,8298	95,2321
1164,7941	95,282
1165,7583	95,3313
1166,7225	95,3867
1167,6868	95,4549
1168,6510	95,5397
1169,6152	95,6405
1170,5795	95,7523
1171,5437	95,8675
1172,5079	95,9784
1173,4722	96,0806
1174,4364	96,174
1175,4006	96,2633
1176,3649	96,3549
1177,3291	96,4536
1178,2933	96,5596
1179,2576	96,668
1180,2218	96,7711
1181,1860	96,8623
1182,1503	96,9401
1183,1145	97,0087
1184,0787	97,0745
1185,0430	97,1429
1186,0072	97,2145
1186,9714	97,286
1187,9357	97,3521
1188,8999	97,4088
1189,8641	97,455
1190,8284	97,4915
1191,7926	97,5194
1192,7568	97,539
1193,7211	97,5507
1194,6853	97,5566
1195,6495	97,5615
1196,6138	97,5716
1197,5780	97,5927
1198,5422	97,6271
1199,5065	97,6731
1200,4707	97,7257
1201,4349	97,7788
1202,3992	97,8277
1203,3634	97,8711
1204,3276	97,9109
1205,2919	97,9508
1206,2561	97,9942
1207,2203	98,0419
1208,1846	98,0914
1209,1488	98,1379
1210,1130	98,1766
1211,0773	98,2049
1212,0415	98,2233
1213,0057	98,2349
1213,9700	98,2443
1214,9342	98,2558
1215,8984	98,2732
1216,8627	98,3
1217,8269	98,3382
1218,7911	98,3873
1219,7554	98,4437
1220,7196	98,5008
1221,6838	98,5524
1222,6481	98,5947
1223,6123	98,6282
1224,5765	98,6572
1225,5408	98,6864
1226,5050	98,7195
1227,4692	98,757
1228,4335	98,7977
1229,3977	98,84
1230,3619	98,8834
1231,3262	98,9281
1232,2904	98,9749
1233,2546	99,0243
1234,2189	99,0756
1235,1831	99,1267
1236,1473	99,1742
1237,1116	99,2143
1238,0758	99,2447
1239,0400	99,2661
1240,0043	99,2839
1240,9685	99,3057
1241,9327	99,3387
1242,8970	99,3848
1243,8612	99,4393
1244,8254	99,4917
1245,7897	99,5309
1246,7539	99,5498
1247,7181	99,5487
1248,6824	99,534
1249,6466	99,5149
1250,6108	99,4993
1251,5751	99,4911
1252,5393	99,4902
1253,5035	99,4944
1254,4678	99,5012
1255,4320	99,5086
1256,3962	99,5157
1257,3605	99,5223
1258,3247	99,5287
1259,2889	99,5364
1260,2532	99,5475
1261,2174	99,5641
1262,1816	99,5866
1263,1459	99,6127
1264,1101	99,6375
1265,0743	99,6557
1266,0386	99,6638
1267,0028	99,6611
1267,9670	99,6503
1268,9313	99,6353
1269,8955	99,6201
1270,8597	99,6066
1271,8240	99,5955
1272,7882	99,586
1273,7524	99,5766
1274,7167	99,5657
1275,6809	99,552
1276,6451	99,5346
1277,6094	99,5146
1278,5736	99,4952
1279,5378	99,4813
1280,5021	99,4773
1281,4663	99,4934
1282,4305	99,5181
1283,3948	99,5423
1284,3590	99,5577
1285,3232	99,5595
1286,2875	99,5484
1287,2517	99,53
1288,2159	99,5117
1289,1802	99,499
1290,1444	99,4923
1291,1086	99,488
1292,0729	99,4812
1293,0371	99,4694
1294,0013	99,4533
1294,9656	99,4365
1295,9298	99,4228
1296,8940	99,4137
1297,8583	99,4078
1298,8225	99,4014
1299,7867	99,391
1300,7510	99,3752
1301,7152	99,3552
1302,6794	99,3337
1303,6437	99,3133
1304,6079	99,2951
1305,5721	99,2785
1306,5364	99,2611
1307,5006	99,2404
1308,4648	99,2146
1309,4291	99,1831
1310,3933	99,1473
1311,3575	99,1103
1312,3218	99,0761
1313,2860	99,0482
1314,2502	99,0277
1315,2145	99,012
1316,1787	98,9957
1317,1429	98,9721
1318,1072	98,9363
1319,0714	98,8873
1320,0356	98,8284
1320,9999	98,7653
1321,9641	98,703
1322,9283	98,6439
1323,8926	98,5883
1324,8568	98,5352
1325,8210	98,4824
1326,7853	98,427
1327,7495	98,3652
1328,7137	98,2919
1329,6780	98,2025
1330,6422	98,0949
1331,6064	97,971
1332,5707	97,8373
1333,5349	97,7027
1334,4991	97,5758
1335,4634	97,4627
1336,4276	97,3679
1337,3918	97,2961
1338,3561	97,2527
1339,3203	97,2418
1340,2845	97,2612
1341,2488	97,3031
1342,2130	97,358
1343,1772	97,4184
1344,1415	97,4793
1345,1057	97,5363
1346,0699	97,5852
1347,0342	97,623
1347,9984	97,6497
1348,9626	97,6684
1349,9269	97,6844
1350,8911	97,7022
1351,8553	97,7242
1352,8196	97,7504
1353,7838	97,7786
1354,7480	97,8053
1355,7123	97,827
1356,6765	97,8401
1357,6407	97,8416
1358,6050	97,8283
1359,5692	97,7962
1360,5334	97,7425
1361,4977	97,6695
1362,4619	97,588
1363,4261	97,5134
1364,3904	97,4549
1365,3546	97,4122
1366,3188	97,3802
1367,2831	97,3544
1368,2473	97,3337
1369,2115	97,3194
1370,1758	97,3141
1371,1400	97,3212
1372,1042	97,3456
1373,0685	97,3933
1374,0327	97,4676
1374,9969	97,5639
1375,9612	97,6694
1376,9254	97,7712
1377,8896	97,8617
1378,8539	97,9396
1379,8181	98,0051
1380,7823	98,0585
1381,7466	98,0994
1382,7108	98,1274
1383,6750	98,1431
1384,6393	98,1474
1385,6035	98,1427
1386,5677	98,1335
1387,5320	98,1249
1388,4962	98,1195
1389,4604	98,1151
1390,4247	98,108
1391,3889	98,096
1392,3531	98,0805
1393,3174	98,0665
1394,2816	98,0605
1395,2458	98,066
1396,2101	98,0798
1397,1743	98,0939
1398,1385	98,1029
1399,1028	98,1068
1400,0670	98,1088
1401,0313	98,1106
1401,9955	98,1117
1402,9597	98,1106
1403,9240	98,1066
1404,8882	98,1014
1405,8524	98,0981
1406,8167	98,098
1407,7809	98,0998
1408,7451	98,101
1409,7094	98,1007
1410,6736	98,1008
1411,6378	98,1049
1412,6021	98,1147
1413,5663	98,1277
1414,5305	98,1375
1415,4948	98,1356
1416,4590	98,1143
1417,4232	98,0716
1418,3875	98,0178
1419,3517	97,9716
1420,3159	97,9435
1421,2802	97,9283
1422,2444	97,9161
1423,2086	97,9022
1424,1729	97,8877
1425,1371	97,8757
1426,1013	97,8663
1427,0656	97,8551
1428,0298	97,8363
